"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","VIDEODISC","2008","3","150","Evan almighty [videorecording] / Universal Pictures ; Spyglass Entertainment ; Shady Acres Entertainment ; Original Film ; Relativity Media ; produced by Gary Barber, Roger Birnbaum, Michael Bostick, Steve Carell, Neal H. Moritz, Tom Shadyac ; story by Steve Oedekerk and Joel Cohen & Alec Sokolow ; screenplay by Steve Oedekerk ; directed by Tom Shadyac.",,"Legislators Drama, Presence of God Drama, Trust in God Drama, Humanity Drama, Deluge Drama, Feature films, Fantasy films, Video recordings for the hearing impaired, Comedy films","Universal Studios Home Entertainment,","c2007."
"Physical","Horizon","VIDEODISC","2008","4","150","Children of men [videorecording] / Universal Pictures ; Strike Entertainment ; Hit & Run Productions ; Quietus Productions, Ltd. ; produced by Marc Abraham, Eric Newman, Hilary Shor, Iain Smith, Tony Smith ; screenplay by Alfonso Cuarón & Timothy J. Sexton and David Arata and Mark Fergus & Hawk Ostby ; directed by Alfonso Cuarón.",,"Fertility Human Drama, Extinction Biology Drama, Human rights workers Drama, Pregnant women Drama, Dystopias Drama, London England Drama, Feature films, Science fiction films, Action and adventure films, Video recordings for the hearing impaired, Thrillers Motion pictures","Universal Pictures,","[2007]"
"Physical","Horizon","BOOK","2008","4","150","SuperHero ABC / by Bob McLeod.","McLeod, Bob","Heroes Juvenile fiction, Alphabet Fiction","HarperCollins,","2006."
"Physical","Horizon","BOOK","2008","4","150","Uncataloged Folder or Bag--BAL",,,,
"Physical","Horizon","VIDEODISC","2008","4","150","The fountain [videorecording] / Warner Bros. Pictures ; Regency Enterprises ; Epsilon Motion Pictures ; New Regency Pictures ; Protozoa Pictures ; produced by Arnon Milchan, Iain Smith, Eric Watson ; story by Darren Aronofsky & Ari Handel ; screenplay by Darren Aronofsky ; directed by Darren Aronofsky.",,"Time travel Drama, Death Drama, Love Drama, Man woman relationships Drama, Explorers Drama, Space travelers Drama, Medical films Motion pictures, Feature films, Fantasy films, Science fiction films, Video recordings for the hearing impaired, Action and adventure films","Warner Home Video,","[2007]"
"Physical","Horizon","VIDEODISC","2008","5","150","Man of the year [videorecording] / Universal Pictures ; Morgan Creek Productions ; produced by Barry Levinson, James G. Robinson ; written by Barry Levinson ; directed by Barry Levinson.",,"Presidents Election Drama, Comedians Drama, Voting machines Drama, Computer system failures Drama, Fans Persons Drama, Feature films, Romantic comedy films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","Universal Pictures,","[2007]"
"Physical","Horizon","VIDEODISC","2008","5","150","Good luck Chuck [videorecording] / Lionsgate ; K.E.I. ; produced by Mike Karz, Barry Karz and Brian Volk-Weiss ; screenplay by Josh Stolberg ; directed by Mark Helfrich.",,"Charms Drama, Blessing and cursing Drama, Dentists Drama, Man woman relationships Drama, Penguins Drama, Feature films, Video recordings for the hearing impaired, Comedy films","Lionsgate,","[2008]"
"Physical","Horizon","VIDEODISC","2008","6","150","El laberinto del fauno [videorecording] = Pan's labyrinth / Picturehouse and Telecinco present a production of Estudios Picasso ; Tequilla Gang ; Esperanto Filmoj in association with Caféx, Inc. ; produced by Alfonso Cuarón, Bertha Navarro, Guillermo del Toro, Frida Torresblanco ; screenplay by Guillermo del Toro ; directed by Guillermo del Toro.",,"Labyrinths Drama, Military bases Drama, Imagination in children Drama, Cruelty Drama, Mothers and daughters Drama, Good and evil Drama, Feature films, Fantasy films, Video recordings for the hearing impaired, Thrillers Motion pictures","New Line Home Entertainment : Distributed by Warner Home Video,","[2007]"
"Physical","Horizon","VIDEODISC","2008","7","150","Love in the time of cholera [videorecording] / New Line Cinema ; Stone Village Pictures in association with Grosvenor Park Media ; produced by Scott Steindorff ; screenplay by Ronald Harwood ; directed by Mike Newell.",,"First loves Drama, Physician and patient Drama, Man woman relationships Drama, Colombia Drama, Feature films, Melodramas Motion pictures, Video recordings for the hearing impaired","New Line Home Entertainment : Distributed by Warner Home Video,","[2008]"
"Physical","Horizon","VIDEODISC","2008","7","150","Casino Royale [videorecording] / Metro-Goldwyn-Mayer ; Columbia Pictures ; Albert R. Broccoli's Eon Productions Limited ; Danjaq LLC. ; Babelsberg Film GmbH ; Stillking Films ; United Artists ; produced by Barbara Broccoli, Michael G. Wilson ; screenplay by Neal Purvis & Robert Wade and Paul Haggis ; directed by Martin Campbell.",,"Bond James Fictitious character Drama, Great Britain MI6 Drama, Poker Tournaments Drama, Terrorists Drama, Criminal behavior Drama, Man woman relationships Drama, Feature films, Action and adventure films, Thrillers Motion pictures, Fiction films, Video recordings for the hearing impaired","Sony Pictures Home Entertainment,","[2007]"
